OSU 80 Ton Compressor Load Stand
J Singleton
Measured on:
Monday, January 28, 2019
4:36:20 PM

1
Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub,Pressure Ratio,Tamb,Twi,Twe,Bypass Position,Water Pump Speed,MG,SG,ML,SL
psia,F,psia,F,lbm/min,lbm/min,Hz,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min,kW,,Btu/h,,F,F,,F,F,F,,Hz,,,,
54.797927,65.095741,139.106836,143.287496,35.474725,57.539947,59.304982,12.893557,135.302881,1.553283,65.027971,55.430573,142.023420,137.553761,139.643544,136.411279,73.849839,135.823432,0.001885,-1.875220,32.000000,-237.113429,136.590956,0.362765,13.627180,0.656047,270128.297358,0.914233,20.046773,24.698326,2.538389,68.401210,65.029824,88.313147,76.159540,42.601230,51.871616,66.030940,20.475027,14.008587
54.788784,65.092370,139.054282,143.291646,35.356141,57.519589,59.292806,12.892778,135.299548,1.466551,65.028803,55.419586,142.029084,137.545792,139.645963,136.409208,73.850713,135.823031,0.001885,-1.877000,32.000000,-237.114211,136.589022,0.339729,13.624506,0.655630,270069.907407,0.915412,20.046415,24.697920,2.537952,68.399697,65.031238,88.319272,76.159540,42.572456,51.871616,66.040650,20.475027,14.008125
54.780832,65.091635,139.013249,143.297177,35.196030,57.495207,59.269182,12.893374,135.295878,1.465852,65.033470,55.413258,142.035742,137.541847,139.649456,136.405974,73.851547,135.822355,0.001886,-1.878143,32.000000,-237.113715,136.586487,0.339739,13.623103,0.655353,269953.720516,0.913777,20.048931,24.696273,2.538542,68.398133,65.032618,88.327612,76.159540,42.561746,51.871616,66.049635,20.475027,14.008152
54.777508,65.093585,138.973353,143.302188,35.025031,57.483074,59.286748,12.893378,135.291514,1.466319,65.035348,55.409505,142.041532,137.540083,139.651417,136.400794,73.852328,135.819071,0.001858,-1.877438,32.000000,-237.113713,136.584995,0.339501,13.625154,0.655103,269857.630397,0.913802,20.054358,24.695204,2.538006,68.396754,65.032787,88.335328,76.159540,42.534519,51.871616,66.054882,20.475027,14.008484
54.778118,65.095131,139.033059,143.307738,34.948839,57.466960,59.304807,12.893258,135.289475,1.466825,65.032182,55.412001,142.047910,137.537183,139.654947,136.400201,73.853002,135.817557,0.001847,-1.877495,32.000000,-237.113954,136.583012,0.339741,13.623862,0.654800,269744.290516,0.913923,20.061275,24.694042,2.537626,68.394732,65.033078,88.346903,76.159540,42.554806,51.871616,66.056354,20.475027,14.008921
54.775922,65.094179,138.946658,143.311021,34.944123,57.463453,59.310536,12.893160,135.290094,1.467225,65.031214,55.406215,142.052702,137.540417,139.658927,136.397619,73.853149,135.816762,0.001847,-1.879206,32.000000,-237.114106,136.592942,0.339672,13.627162,0.654414,269689.020715,0.913526,20.066425,24.691672,2.537051,68.393745,65.033435,88.357193,76.159540,42.531294,51.871616,66.060057,20.475027,14.008987
54.769124,65.092389,138.932829,143.314142,35.236329,57.451756,59.298323,12.894270,135.284833,1.249712,65.033639,55.400623,142.057885,137.538000,139.663429,136.399863,73.854214,135.811566,0.001848,-1.879510,32.000000,-237.113211,136.645012,0.267932,13.622025,0.654596,269613.567411,0.912984,20.067384,24.690266,2.538113,68.390848,65.033719,88.370421,76.159540,42.531104,51.871616,66.070729,20.475027,14.008827
54.764099,65.092832,138.902227,143.317114,35.332522,57.443764,59.295055,12.895124,135.269299,1.393016,65.037989,55.396118,142.061979,137.530889,139.666606,136.395975,73.855270,135.807914,0.001891,-1.879861,32.000000,-237.112410,136.595665,0.320344,13.624207,0.653982,269596.653283,0.912879,20.068544,24.689734,2.536637,68.389129,65.033738,88.382150,76.159540,42.506657,51.871616,66.078389,20.475027,14.009002
54.765544,65.096269,138.895210,143.320885,35.568296,57.419220,59.330305,12.895577,135.260685,1.676953,65.038951,55.396282,142.066614,137.522637,139.670487,136.391730,73.857207,135.797792,0.001889,-1.880959,32.000000,-237.111871,136.560677,0.411311,13.622502,0.654123,269541.255514,0.913002,20.073297,24.686152,2.536700,68.386214,65.033897,88.396701,76.159540,42.494365,51.871616,66.083381,20.475027,14.009565
