OSU 80 Ton Compressor Load Stand
J Singleton
Measured on:
Tuesday, January 29, 2019
8:25:56 PM

1
Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub,Pressure Ratio,Tamb,Twi,Twe,Bypass Position,Water Pump Speed,MG,SG,ML,SL
psia,F,psia,F,lbm/min,lbm/min,Hz,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min,kW,,Btu/h,,F,F,,F,F,F,,Hz,,,,
54.932891,65.741444,160.481379,154.464987,41.435667,57.419944,59.223639,12.783750,157.849372,1.585141,65.843819,55.552555,153.176941,160.327699,150.552538,159.203927,89.177133,158.594266,0.002015,-1.736989,32.000000,-237.223344,159.280003,0.365046,15.254888,0.674665,252981.426823,0.913145,20.573996,19.751412,2.925101,69.171020,77.732434,93.225402,63.000000,52.092851,41.590000,64.825656,22.500000,17.475073
54.941017,65.743749,160.467824,154.461050,41.511471,57.436572,59.243574,12.783567,157.853607,1.676122,65.843332,55.564870,153.173437,160.335855,150.551253,159.213821,89.175228,158.601621,0.002013,-1.736969,32.000000,-237.223515,159.256882,0.413314,15.255159,0.674253,253071.510408,0.912063,20.569925,19.753672,2.923165,69.179478,77.726695,93.238098,63.000000,52.085995,41.590000,64.795650,22.500000,17.475073
54.954775,65.745737,160.467223,154.455761,41.608119,57.440792,59.141966,12.783427,157.862779,1.932129,65.851859,55.578747,153.169866,160.346413,150.550456,159.226643,89.174235,158.609919,0.002026,-1.736973,32.000000,-237.223550,159.251509,0.493398,15.251923,0.674058,253182.366834,0.912216,20.564900,19.760377,2.921408,69.190338,77.720061,93.254848,63.000000,52.041530,41.590000,64.755086,22.500000,17.475073
54.960264,65.750443,160.442159,154.451520,41.555078,57.461426,59.253431,12.781970,157.871905,1.932558,65.858978,55.586171,153.166862,160.351768,150.549035,159.237736,89.173911,158.615947,0.002052,-1.736989,32.000000,-237.224999,159.260517,0.493214,15.251220,0.674088,253256.772263,0.912029,20.559402,19.765451,2.920729,69.197871,77.713474,93.268063,63.000000,52.021660,41.590000,64.724468,22.500000,17.475073
54.970363,65.757683,160.433791,154.446798,41.623008,57.486017,59.164469,12.782297,157.882869,1.931973,65.869177,55.596657,153.162644,160.364946,150.546106,159.254771,89.172213,158.625771,0.002017,-1.736974,32.000000,-237.224502,159.271995,0.492989,15.246038,0.674095,253273.507047,0.913415,20.548182,19.770019,2.919987,69.207052,77.704928,93.282787,63.000000,52.002060,41.590000,64.685232,22.500000,17.475073
54.979319,65.764276,160.451285,154.443559,41.748517,57.506430,59.163472,12.781630,157.889759,1.931528,65.878269,55.604612,153.160639,160.374758,150.544624,159.264870,89.172935,158.633384,0.002011,-1.737018,32.000000,-237.225290,159.256053,0.493504,15.246788,0.674207,253366.607259,0.911935,20.547618,19.772943,2.919239,69.216152,77.699045,93.294948,63.000000,51.987018,41.590000,64.649944,22.500000,17.475073
54.993201,65.772175,160.522035,154.440843,41.871534,57.530912,59.339494,12.781719,157.894077,2.372321,65.881395,55.623311,153.158243,160.385732,150.543615,159.278654,89.173916,158.643221,0.002012,-1.737032,32.000000,-237.225142,159.207608,0.645547,15.246060,0.674577,253478.768054,0.913529,20.545162,19.778872,2.918551,69.228325,77.691346,93.309565,63.000000,51.995191,41.590000,64.602233,22.500000,17.475073
55.005993,65.776144,160.625183,154.437415,42.443093,57.555537,59.170269,12.781259,157.915863,2.018347,65.874541,55.639312,153.156205,160.401681,150.541627,159.294582,89.173295,158.660051,0.002018,-1.736984,32.000000,-237.225550,159.272802,0.516102,15.245617,0.674741,253570.329904,0.913720,20.543160,19.781432,2.918393,69.237954,77.683958,93.325384,63.000000,52.026249,41.590000,64.552722,22.500000,17.475073
55.014509,65.775022,160.695686,154.433626,42.628461,57.575921,59.238744,12.781849,157.927486,1.935465,65.867084,55.649916,153.154916,160.417612,150.540083,159.311016,89.172116,158.677044,0.001982,-1.736984,32.000000,-237.224885,159.285695,0.492355,15.248845,0.675175,253678.328134,0.911162,20.537738,19.784689,2.918943,69.244419,77.676908,93.340155,63.000000,52.060397,41.590000,64.510730,22.500000,17.475073
