OSU 80 Ton Compressor Load Stand
J Singleton
Measured on:
Tuesday, January 29, 2019
4:37:03 PM

1
Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub,Pressure Ratio,Tamb,Twi,Twe,Bypass Position,Water Pump Speed,MG,SG,ML,SL
psia,F,psia,F,lbm/min,lbm/min,Hz,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min,kW,,Btu/h,,F,F,,F,F,F,,Hz,,,,
54.676519,65.212825,161.253888,154.772793,39.575897,56.938501,59.251906,12.937867,157.967727,1.938169,65.100378,55.295877,153.472600,160.423858,150.808558,159.326668,79.067415,158.655435,0.001984,-1.741933,32.000000,-237.069589,159.348765,0.490079,15.245542,0.673926,261764.760760,0.908694,20.313617,29.896686,2.949647,69.032167,66.011045,94.657328,92.160000,39.182664,41.599011,64.040237,18.734177,18.029080
54.677665,65.199599,161.249565,154.771807,39.476415,56.938541,59.244986,12.937626,157.967660,1.950820,65.083975,55.295912,153.472240,160.427106,150.809560,159.329308,79.067389,158.655313,0.001982,-1.741932,32.000000,-237.069646,159.346869,0.492803,15.243670,0.674134,261753.906040,0.907461,20.300521,29.896077,2.949744,69.032368,66.011799,94.655048,92.160000,39.177612,41.599011,64.055110,18.734177,18.028346
54.678028,65.185375,161.184610,154.770504,39.568197,56.938462,59.207746,12.937226,157.969140,1.950117,65.055832,55.294635,153.471011,160.430432,150.809490,159.331196,79.067505,158.653437,0.001982,-1.741937,32.000000,-237.069977,159.348848,0.492639,15.252007,0.674223,261743.928861,0.907544,20.282926,29.896452,2.949235,69.032251,66.012926,94.654443,92.160000,39.132385,41.599011,64.073597,18.734177,18.027572
54.681289,65.169771,161.156642,154.768727,39.512672,56.938423,59.271388,12.937151,157.971119,1.949755,65.033045,55.296107,153.470551,160.430420,150.811907,159.330618,79.068251,158.651081,0.002003,-1.739595,32.000000,-237.070190,159.346676,0.492793,15.248904,0.674241,261733.877485,0.907598,20.268597,29.896426,2.949094,69.032844,66.014377,94.654472,92.160000,39.124296,41.599011,64.086323,18.734177,18.026724
54.679301,65.150407,161.106868,154.766246,39.462600,56.938425,59.220110,12.936940,157.975005,1.899308,65.012987,55.293123,153.470845,160.434820,150.812886,159.330816,79.069898,158.647743,0.002016,-1.739587,32.000000,-237.070371,159.361589,0.471656,15.249717,0.673591,261722.783121,0.908126,20.254022,29.895502,2.947886,69.031305,66.016384,94.653109,92.160000,39.073215,41.599011,64.105187,18.734177,18.025518
54.674393,65.137610,161.156256,154.764480,39.480784,56.938499,59.226369,12.937560,157.970360,1.818584,65.001710,55.287426,153.470867,160.435996,150.813371,159.334630,79.070982,158.642132,0.001986,-1.739594,32.000000,-237.069534,159.349382,0.455752,15.252003,0.673540,261709.110504,0.907053,20.235277,29.893740,2.947199,69.029206,66.017074,94.651646,92.160000,39.105192,41.599011,64.126332,18.734177,18.024709
54.675462,65.127099,161.184419,154.762658,39.415529,56.938383,59.193198,12.937644,157.971582,1.944201,64.986911,55.285781,153.470450,160.435637,150.813500,159.338570,79.073085,158.641965,0.001983,-1.738442,32.000000,-237.069398,159.347883,0.493194,15.250108,0.673300,261693.232697,0.907828,20.217828,29.890656,2.946396,69.026479,66.018550,94.649582,92.160000,39.120885,41.599011,64.145819,18.734177,18.024074
54.678264,65.117982,161.160208,154.760920,39.707499,56.938318,59.073879,12.938141,157.973973,1.944303,64.969026,55.289092,153.470578,160.438028,150.812554,159.341889,79.074468,158.644481,0.001984,-1.737283,32.000000,-237.068868,159.345501,0.493626,15.251782,0.673441,261684.321306,0.907792,20.209760,29.887154,2.947564,69.023695,66.019679,94.649785,92.160000,39.102145,41.599011,64.160036,18.734177,18.023587
54.683226,65.103305,161.231966,154.757710,39.848440,56.938436,59.227486,12.938551,157.976939,1.943703,64.952477,55.288375,153.469783,160.438338,150.812891,159.343741,79.076202,158.642420,0.001990,-1.737285,32.000000,-237.068484,159.346663,0.493301,15.247495,0.673593,261673.552853,0.908254,20.198219,29.884979,2.948021,69.019299,66.021008,94.652751,92.160000,39.147729,41.599011,64.172831,18.734177,18.022702
54.685356,65.092480,161.293923,154.754460,39.881951,56.938687,59.207370,12.939203,157.981901,1.943448,64.943116,55.291424,153.468428,160.439962,150.813952,159.346772,79.078031,158.644206,0.001959,-1.737315,32.000000,-237.067911,159.350300,0.493651,15.246717,0.673371,261663.921904,0.910013,20.186403,29.884680,2.947427,69.015772,66.022273,94.655335,92.160000,39.196640,41.599011,64.184755,18.734177,18.021999
54.685815,65.083267,161.338746,154.750442,40.031807,56.938708,59.212744,12.939551,157.995050,1.599512,64.936525,55.294660,153.464901,160.443749,150.812457,159.351426,79.078510,158.649853,0.001955,-1.737330,32.000000,-237.067487,159.410299,0.368591,15.255339,0.673748,261650.307687,0.907528,20.166942,29.882058,2.948472,69.011408,66.022570,94.657226,92.160000,39.223384,41.599011,64.202179,18.734177,18.021415
54.690144,65.078264,161.377178,154.747614,40.219817,56.938651,59.216060,12.939744,157.995852,1.421543,64.933061,55.299587,153.463149,160.447880,150.813290,159.355281,79.080113,158.652852,0.001955,-1.737313,32.000000,-237.067299,159.415698,0.320904,15.249312,0.673976,261640.657171,0.907775,20.154066,29.880998,2.949490,69.010315,66.023080,94.658647,92.160000,39.245341,41.599011,64.212453,18.734177,18.021105
54.692723,65.073949,161.293304,154.744915,40.557855,56.938659,59.244704,12.940551,157.999001,1.419781,64.933275,55.303789,153.462216,160.453974,150.812829,159.360111,79.082985,158.658215,0.001981,-1.737310,32.000000,-237.066476,159.420679,0.321394,15.250427,0.673746,261633.321551,0.907662,20.144410,29.882952,2.950285,69.010522,66.023773,94.659415,92.160000,39.214333,41.599011,64.226813,18.734177,18.020907
54.700418,65.071474,161.282982,154.742752,40.951274,56.946818,59.189950,12.940611,158.001290,1.420009,64.932095,55.304086,153.461442,160.458215,150.812029,159.360772,79.085547,158.660019,0.001987,-1.737297,32.000000,-237.066365,159.420610,0.321130,15.245500,0.674093,261625.906167,0.907519,20.135237,29.882642,2.950754,69.010008,66.023733,94.660394,92.160000,39.193069,41.599011,64.233379,18.734177,18.020800
54.708851,65.068284,161.336167,154.738739,41.412901,56.954802,59.111986,12.941374,158.001658,1.419930,64.919800,55.309374,153.458462,160.464579,150.809127,159.367197,79.087697,158.666795,0.001987,-1.737347,32.000000,-237.065606,159.421308,0.321040,15.250583,0.673670,261619.034231,0.907022,20.128436,29.882081,2.949082,69.007153,66.023187,94.663398,92.160000,39.226351,41.599011,64.239173,18.734177,18.020724
54.712702,65.061238,161.308098,154.733802,41.587456,56.966998,59.259292,12.941111,158.004134,1.419822,64.918488,55.315698,153.455962,160.468059,150.808231,159.375384,79.090142,158.667386,0.001986,-1.737331,32.000000,-237.065924,159.423918,0.321313,15.240928,0.673837,261649.382690,0.907844,20.118546,29.880295,2.948478,69.005744,66.022208,94.667596,92.160000,39.216116,41.599011,64.243932,18.734177,18.020330
