OSU 80 Ton Compressor Load Stand
J Singleton
Measured on:
Thursday, January 31, 2019
3:41:29 PM

1
Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub,Pressure Ratio,Tamb,Twi,Twe,Bypass Position,Water Pump Speed,MG,SG,ML,SL
psia,F,psia,F,lbm/min,lbm/min,Hz,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min,kW,,Btu/h,,F,F,,F,F,F,,Hz,,,,
54.956801,65.025739,186.727994,166.363225,44.279092,57.112697,59.065797,12.799833,183.368873,2.446974,64.902179,55.591821,164.919567,186.323003,162.071900,184.843956,94.433134,184.245317,0.001989,-1.619266,32.000000,-237.207368,184.747081,0.659957,17.094777,0.681209,245979.364223,0.905979,19.820729,24.938560,3.393288,67.932793,77.092164,98.502616,13.599855,46.627039,32.590000,60.625141,20.652000,22.555361
54.939483,65.012502,186.687291,166.377131,44.751297,57.092430,59.076715,12.800137,183.383185,2.447338,64.873035,55.579556,164.927467,186.335366,162.074124,184.858767,94.435124,184.253607,0.001985,-1.619284,32.000000,-237.207157,184.760427,0.660223,17.094708,0.681451,245862.413062,0.907071,19.820831,24.944159,3.395238,67.933952,77.091971,98.499472,13.599855,46.605879,32.590000,60.621743,20.652000,22.553436
54.915409,64.989358,186.602041,166.393862,44.680262,57.068086,59.171282,12.799969,183.409039,1.925905,64.831409,55.556454,164.938250,186.355161,162.077172,184.877351,94.436258,184.266654,0.001988,-1.619279,32.000000,-237.207365,184.845476,0.479768,17.098093,0.681570,245768.677742,0.907580,19.826238,24.945724,3.397723,67.935398,77.091736,98.496377,13.599855,46.597842,32.590000,60.621742,20.652000,22.550402
54.892704,64.961648,186.658934,166.410829,44.335910,57.051997,59.153822,12.800611,183.424195,1.858778,64.795084,55.534681,164.949805,186.372145,162.082692,184.889441,94.439156,184.286638,0.001949,-1.619306,32.000000,-237.206656,184.862043,0.464549,17.084853,0.681394,245675.470532,0.907375,19.829628,24.946928,3.398053,67.939295,77.091188,98.492860,13.599855,46.634885,32.590000,60.627683,20.652000,22.546425
54.874467,64.940338,186.640692,166.426440,44.153985,57.032056,59.171886,12.801280,183.433578,1.859247,64.757285,55.517694,164.961515,186.385448,162.086237,184.903948,94.440106,184.302813,0.001946,-1.619265,32.000000,-237.205929,184.877287,0.464487,17.068091,0.680956,245560.461038,0.905922,19.829607,24.950817,3.397991,67.941843,77.090797,98.491394,13.599855,46.649316,32.590000,60.632079,20.652000,22.543382
54.854511,64.915298,186.663077,166.441883,44.314576,57.011769,59.190369,12.800547,183.441452,1.859498,64.725112,55.496866,164.974503,186.395751,162.091666,184.912866,94.442125,184.315405,0.001942,-1.619249,32.000000,-237.206731,184.888756,0.464460,17.073654,0.681683,245475.451123,0.906281,19.823709,24.955616,3.400433,67.944648,77.090043,98.491947,13.599855,46.670612,32.590000,60.642951,20.652000,22.539705
54.828081,64.887648,186.610958,166.460933,44.606273,56.987309,59.033697,12.800053,183.448646,1.860148,64.698489,55.467624,164.990444,186.406545,162.099781,184.921433,94.445048,184.328917,0.001949,-1.619288,32.000000,-237.207064,184.903159,0.464388,17.089248,0.682243,245378.770187,0.905969,19.819925,24.960894,3.401230,67.947628,77.089320,98.495849,13.599855,46.673438,32.590000,60.662440,20.652000,22.535560
54.805458,64.867275,186.689206,166.481444,44.995668,56.962822,59.110867,12.800824,183.457236,1.861004,64.680957,55.444192,165.006447,186.412735,162.106458,184.928280,94.446388,184.342454,0.001985,-1.619275,32.000000,-237.206283,184.914098,0.464394,17.092623,0.682035,245277.587540,0.905668,19.814068,24.963722,3.402876,67.949756,77.087811,98.501080,13.599855,46.712890,32.590000,60.681058,20.652000,22.532270
54.785837,64.855247,186.669792,166.499052,44.938575,56.958862,59.083536,12.800769,183.463676,1.861557,64.673290,55.426370,165.018794,186.414928,162.110831,184.932063,94.446423,184.349768,0.001983,-1.619301,32.000000,-237.206162,184.919766,0.464241,17.077314,0.681229,245157.931460,0.908099,19.811831,24.966001,3.403565,67.950435,77.085973,98.507954,13.599855,46.731563,32.590000,60.702722,20.652000,22.530298
