OSU 80 Ton Compressor Load Stand
J Singleton
Measured on:
Thursday, January 31, 2019
5:25:45 PM

1
Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub,Pressure Ratio,Tamb,Twi,Twe,Bypass Position,Water Pump Speed,MG,SG,ML,SL
psia,F,psia,F,lbm/min,lbm/min,Hz,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min,kW,,Btu/h,,F,F,,F,F,F,,Hz,,,,
54.919131,64.758561,212.862518,178.642323,53.517175,56.948046,59.108385,12.664697,210.281803,1.008852,64.631863,55.551065,177.150450,213.584115,173.975592,211.960837,113.194406,211.271130,0.001988,-1.502885,32.000000,-237.341961,211.834669,0.192086,19.112266,0.672924,224722.022829,0.905555,19.608232,16.087823,3.876126,68.124951,80.631421,104.507053,37.468354,57.725076,32.590000,52.476673,27.652000,25.470751
54.915586,64.759491,212.749580,178.639386,53.591791,56.948303,58.911054,12.664807,210.284122,1.009164,64.631719,55.550072,177.143408,213.587805,173.967697,211.966627,113.206850,211.278905,0.001989,-1.502848,32.000000,-237.341748,211.837828,0.192153,19.118895,0.672788,224703.370931,0.904174,19.600339,16.076624,3.875948,68.133421,80.628381,104.504035,37.468354,57.641274,32.590000,52.460751,27.652000,25.470545
54.913541,64.760522,212.707052,178.637265,53.506154,56.948106,58.964026,12.664844,210.277633,1.124461,64.627526,55.548788,177.136164,213.592286,173.960447,211.970414,113.220591,211.284454,0.002031,-1.502828,32.000000,-237.341720,211.786524,0.233625,19.119949,0.672874,224685.488378,0.904350,19.595233,16.064575,3.875927,68.144559,80.627003,104.498918,37.468354,57.607332,32.590000,52.442815,27.652000,25.470549
54.914172,64.758825,212.626905,178.635668,53.599363,56.931758,59.049652,12.664681,210.266917,1.874716,64.621729,55.549116,177.130370,213.591743,173.954506,211.970522,113.231843,211.289078,0.001997,-1.502823,32.000000,-237.341901,211.732118,0.489683,19.119170,0.672426,224674.972379,0.907450,19.599568,16.054833,3.874120,68.151917,80.627309,104.492905,37.468354,57.544696,32.590000,52.423872,27.652000,25.470154
54.909243,64.755850,212.833618,178.633025,53.607305,56.923297,58.958547,12.664230,210.268211,1.979375,64.628465,55.540358,177.123939,213.601461,173.948387,211.971524,113.243711,211.294820,0.001987,-1.502803,32.000000,-237.342385,211.734897,0.519031,19.117043,0.672307,224660.931225,0.906672,19.602563,16.043021,3.873490,68.159176,80.630104,104.481454,37.468354,57.648617,32.590000,52.408582,27.652000,25.469451
54.905257,64.759100,212.706295,178.631934,53.436123,56.919489,59.094338,12.664586,210.274984,1.979692,64.637116,55.534968,177.119351,213.611154,173.942094,211.978127,113.250938,211.299289,0.001987,-1.502221,32.000000,-237.342104,211.740459,0.518730,19.117109,0.671946,224582.581633,0.905081,19.600262,16.033375,3.871986,68.164113,80.631697,104.468938,37.468354,57.586707,32.590000,52.395637,27.652000,25.469550
54.898429,64.765192,212.631465,178.633138,53.364377,56.895535,59.012046,12.665113,210.294635,1.871727,64.641583,55.529928,177.115576,213.620113,173.939953,211.984860,113.265037,211.309493,0.001989,-1.501633,32.000000,-237.341632,211.808831,0.478792,19.119127,0.672449,224535.705971,0.906428,19.602020,16.023503,3.876098,68.170965,80.634100,104.453558,37.468354,57.513868,32.590000,52.383889,27.652000,25.470301
54.890588,64.766437,212.682324,178.635595,53.257225,56.891572,59.005293,12.666076,210.313090,1.344813,64.636567,55.526528,177.113736,213.632336,173.934639,211.995577,113.280215,211.320404,0.001956,-1.501613,32.000000,-237.340694,211.794073,0.304981,19.121065,0.672161,224516.821088,0.904365,19.609101,16.017829,3.874061,68.176421,80.635721,104.439875,37.468354,57.551453,32.590000,52.376964,27.652000,25.470350
54.883613,64.763665,212.737986,178.640875,53.270140,56.890722,58.976230,12.667195,210.324670,1.327968,64.625175,55.518935,177.110051,213.639616,173.929727,212.003506,113.303428,211.331573,0.001944,-1.501582,32.000000,-237.339679,211.805204,0.300884,19.126458,0.671716,224414.282942,0.905385,19.621752,16.007275,3.873179,68.180976,80.635857,104.422322,37.468354,57.574768,32.590000,52.367050,27.652000,25.469832
