OSU 80 Ton Compressor Load Stand
J Singleton
Measured on:
Saturday, February 2, 2019
9:44:29 PM

1
Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub,Pressure Ratio,Tamb,Twi,Twe,Bypass Position,Water Pump Speed,MG,SG,ML,SL
psia,F,psia,F,lbm/min,lbm/min,Hz,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min,kW,,Btu/h,,F,F,,F,F,F,,Hz,,,,
55.005547,65.893903,138.812585,143.399965,41.406748,57.768804,59.802332,12.670318,134.937790,1.397378,65.985337,55.484997,142.173483,137.216915,139.806687,136.060174,81.562278,135.451997,0.001952,0.015543,32.000000,-237.337022,136.259985,0.415427,13.561635,0.658196,263026.133207,0.907698,20.642586,16.802494,2.524509,68.326255,73.347583,87.300963,2.185945,54.239398,66.596150,51.092160,22.820000,16.417813
55.009235,65.897099,138.806830,143.400838,41.422810,57.768744,59.720373,12.670619,134.945072,1.296555,65.986363,55.486181,142.173940,137.219493,139.805128,136.062447,81.561827,135.457166,0.001951,0.015530,32.000000,-237.336675,136.285858,0.376938,13.553302,0.657252,263031.809295,0.907641,20.647511,16.802938,2.523516,68.326918,73.347618,87.312958,2.185945,54.227303,66.596150,51.057504,22.820000,16.417813
55.007571,65.899475,138.866111,143.401761,41.467120,57.768581,59.737302,12.671001,134.954398,0.998124,65.986415,55.483667,142.173530,137.224292,139.803899,136.065484,81.561023,135.462092,0.001973,0.015501,32.000000,-237.336267,136.304174,0.290756,13.571366,0.658045,263034.135700,0.907919,20.647620,16.803824,2.523611,68.326667,73.347578,87.326558,2.185945,54.269253,66.596150,51.026717,22.820000,16.417813
55.006660,65.901225,138.896029,143.403451,41.487491,57.768686,59.818777,12.670947,134.953406,1.373753,65.986641,55.482650,142.174215,137.227750,139.802304,136.067203,81.558921,135.465541,0.001981,0.015517,32.000000,-237.336256,136.271529,0.413071,13.588930,0.658376,263035.932252,0.909104,20.647279,16.806783,2.523337,68.328913,73.348274,87.344914,2.185945,54.280412,66.596150,50.991319,22.820000,16.417813
55.004779,65.902856,138.884442,143.406198,41.577810,57.768933,59.725636,12.671139,134.962146,1.393227,65.988362,55.480653,142.175320,137.232512,139.801057,136.072655,81.558876,135.469557,0.001959,0.015514,32.000000,-237.336296,136.279002,0.414998,13.584500,0.657829,263038.363429,0.908880,20.651252,16.809977,2.524491,68.330713,73.348596,87.364232,2.185945,54.275372,66.596150,50.955830,22.820000,16.417813
55.001336,65.904641,138.873437,143.409049,41.635299,57.768985,59.727033,12.670668,134.967822,1.393272,65.989058,55.474066,142.176505,137.232804,139.800667,136.078233,81.557492,135.477202,0.001952,0.015525,32.000000,-237.336685,136.285469,0.415242,13.563056,0.657153,263042.548771,0.907665,20.653874,16.813751,2.525077,68.331214,73.348080,87.380619,2.185945,54.259659,66.596150,50.929248,22.820000,16.417813
54.994562,65.906726,138.881373,143.413121,41.615402,57.768660,59.820629,12.672481,134.974371,1.393004,65.990091,55.471083,142.177564,137.240669,139.801119,136.086764,81.556979,135.481989,0.001954,0.015537,32.000000,-237.334672,136.293260,0.414994,13.560866,0.657337,263045.928728,0.909123,20.657311,16.815746,2.524952,68.331230,73.348382,87.401051,2.185945,54.271152,66.596150,50.901323,22.820000,16.417813
54.990321,65.908128,138.876682,143.417887,41.525941,57.768316,59.830023,12.672412,134.979905,1.340541,65.989743,55.466369,142.179059,137.242488,139.801151,136.088628,81.556410,135.488185,0.001940,0.015520,32.000000,-237.334751,136.309853,0.395081,13.565649,0.658378,263049.879715,0.909169,20.662399,16.820838,2.524910,68.331466,73.347754,87.419311,2.185945,54.272025,66.596150,50.877292,22.820000,16.417813
54.981261,65.909242,138.946120,143.425049,41.410780,57.768164,59.717435,12.672961,134.994063,1.000593,65.986694,55.459826,142.181610,137.251958,139.801701,136.096711,81.555082,135.497874,0.001918,0.015556,32.000000,-237.334147,136.341068,0.291618,13.584941,0.658631,263052.992412,0.907871,20.670984,16.823673,2.525366,68.331734,73.346153,87.441468,2.185945,54.307459,66.596150,50.852252,22.820000,16.417813
54.978312,65.908805,138.953419,143.432164,41.397422,57.768083,59.735975,12.674419,134.995919,1.369044,65.983205,55.455878,142.184688,137.257605,139.802417,136.104342,81.554826,135.502412,0.001912,0.015586,32.000000,-237.332714,136.314915,0.410841,13.606004,0.658430,263054.688795,0.907804,20.676454,16.827248,2.525475,68.330559,73.344838,87.458610,2.185945,54.313477,66.596150,50.829882,22.820000,16.417813
54.967037,65.907232,138.994922,143.441680,41.385520,57.767742,59.822776,12.674363,135.004166,1.400640,65.978037,55.449305,142.188921,137.258649,139.804135,136.115900,81.553462,135.507633,0.001913,0.015597,32.000000,-237.332682,136.323960,0.414828,13.627507,0.657985,263059.005091,0.909681,20.686262,16.833274,2.527154,68.329179,73.343205,87.480658,2.185945,54.350361,66.596150,50.808882,22.820000,16.417813
54.958583,65.905521,139.007448,143.449893,41.372521,57.767569,59.806422,12.674606,135.010397,1.400656,65.972737,55.444053,142.192767,137.263125,139.806783,136.123923,81.552279,135.514851,0.001936,0.015554,32.000000,-237.332393,136.329722,0.414857,13.641281,0.657048,263059.669700,0.909451,20.688656,16.835732,2.527422,68.329265,73.341425,87.499056,2.185945,54.357281,66.596150,50.793601,22.820000,16.417813
54.949591,65.902517,139.034360,143.460391,41.339838,57.767529,59.802671,12.674496,135.014338,1.400700,65.965332,55.434665,142.199298,137.269786,139.810644,136.134503,81.551398,135.521912,0.001958,0.015546,32.000000,-237.332467,136.339204,0.414636,13.644124,0.656386,263062.219218,0.908328,20.697905,16.839628,2.528696,68.328299,73.339598,87.520439,2.185945,54.377842,66.596150,50.776634,22.820000,16.417813
54.944279,65.899431,139.026810,143.469369,41.311111,57.767485,59.831720,12.674421,135.020612,1.400729,65.956353,55.428194,142.205437,137.276030,139.813459,136.139181,81.550048,135.527625,0.001957,0.015510,32.000000,-237.332529,136.344056,0.414879,13.633677,0.655906,263064.105156,0.908724,20.704308,16.844310,2.529313,68.326397,73.337416,87.538041,2.185945,54.368368,66.596150,50.758557,22.820000,16.417813
54.935400,65.894282,139.084334,143.480502,41.297661,57.767815,59.717360,12.674483,135.019518,1.842613,65.946472,55.418514,142.213767,137.279094,139.818472,136.146030,81.549789,135.535056,0.001958,0.015501,32.000000,-237.332358,136.297795,0.558392,13.610910,0.656035,263065.376271,0.908938,20.709939,16.848617,2.530216,68.324012,73.335293,87.559792,2.185945,54.396130,66.596150,50.743421,22.820000,16.417813
54.926860,65.889466,139.077518,143.490334,41.320674,57.767818,59.833546,12.673966,135.032514,1.489042,65.937186,55.408050,142.220420,137.285714,139.821661,136.148392,81.549341,135.540948,0.001978,0.015526,32.000000,-237.332815,136.353781,0.435450,13.607076,0.656563,263066.212536,0.908585,20.711953,16.852736,2.530324,68.321608,73.333132,87.578533,2.185945,54.406994,66.596150,50.731400,22.820000,16.417813
54.911788,65.883137,139.097761,143.502232,41.347518,57.767883,59.716535,12.673566,135.039374,1.394122,65.923996,55.400573,142.229448,137.292508,139.826947,136.153108,81.547836,135.545112,0.001980,0.015515,32.000000,-237.333041,136.359893,0.415186,13.602563,0.658083,263067.089111,0.910481,20.715330,16.856599,2.531780,68.319121,73.331731,87.599106,2.185945,54.423243,66.596150,50.725119,22.820000,16.417813
54.903666,65.876976,139.131456,143.512944,41.387649,57.767946,59.703374,12.673211,135.046399,1.394118,65.912536,55.390666,142.237728,137.301455,139.832156,136.160515,81.547547,135.552354,0.001965,0.015512,32.000000,-237.333195,136.363649,0.415417,13.594959,0.658352,263066.615643,0.908857,20.718715,16.859904,2.532049,68.317681,73.330798,87.614674,2.185945,54.459329,66.596150,50.716421,22.820000,16.417813
54.886993,65.868725,139.166541,143.525428,41.404094,57.767957,59.723692,12.672766,135.050534,1.394142,65.897868,55.373150,142.248616,137.308473,139.838205,136.168904,81.548036,135.561968,0.001953,0.015515,32.000000,-237.333669,136.368175,0.415183,13.612339,0.658889,263068.637006,0.910900,20.726864,16.863429,2.533113,68.317262,73.330023,87.633080,2.185945,54.475000,66.596150,50.715865,22.820000,16.417813
54.872615,65.861150,139.177753,143.535705,41.433045,57.767957,59.728840,12.672408,135.055778,1.394187,65.885650,55.359229,142.256765,137.312334,139.843801,136.172796,81.547543,135.562155,0.001954,0.015562,32.000000,-237.334073,136.371748,0.415129,13.610659,0.659533,263067.284275,0.911236,20.728505,16.867228,2.534101,68.316933,73.329533,87.648190,2.185945,54.501974,66.596150,50.717830,22.820000,16.417813
54.856156,65.852101,139.131921,143.548582,41.425769,57.767978,59.735047,12.672361,135.059809,1.337589,65.873176,55.342693,142.267233,137.316013,139.850282,136.179134,81.545925,135.565562,0.001936,0.015599,32.000000,-237.334193,136.383706,0.394232,13.596544,0.659098,263066.026201,0.911213,20.736274,16.871400,2.535510,68.317515,73.328503,87.664568,2.185945,54.475009,66.596150,50.723073,22.820000,16.417813
54.845001,65.845186,139.078375,143.559532,41.392664,57.767794,59.723223,12.672909,135.068583,0.951362,65.860577,55.329860,142.275882,137.318804,139.856391,136.185100,81.545034,135.572882,0.001920,0.015599,32.000000,-237.333526,136.423354,0.271803,13.601814,0.659443,263065.330840,0.911380,20.742518,16.871986,2.536379,68.317694,73.326775,87.676824,2.185945,54.454075,66.596150,50.726659,22.820000,16.417813
54.829033,65.835917,139.090242,143.572495,41.343948,57.767422,59.818904,12.672855,135.061452,1.258736,65.844061,55.312486,142.286555,137.317292,139.863581,136.183918,81.543411,135.575391,0.001908,0.015595,32.000000,-237.333459,136.370267,0.383322,13.603741,0.660113,263065.953495,0.911566,20.749289,16.875254,2.536305,68.317158,73.324945,87.689190,2.185945,54.477127,66.596150,50.734741,22.820000,16.417813
54.819508,65.827379,139.102290,143.582965,41.282307,57.758869,59.797275,12.673308,135.057405,1.396670,65.831708,55.309104,142.295125,137.316792,139.868738,136.180800,81.542375,135.572396,0.001907,0.015583,32.000000,-237.332985,136.365389,0.415828,13.605368,0.659729,263064.304441,0.911932,20.753099,16.879695,2.535844,68.316640,73.322719,87.698278,2.185945,54.482788,66.596150,50.741250,22.820000,16.417813
54.808861,65.819422,139.057604,143.593243,41.268708,57.759157,59.798392,12.671794,135.051997,1.396646,65.821104,55.299309,142.304086,137.315252,139.873824,136.175526,81.541153,135.566234,0.001928,0.015583,32.000000,-237.334592,136.360941,0.415865,13.616787,0.659909,263062.813910,0.910738,20.759185,16.882533,2.536799,68.316984,73.320462,87.706188,2.185945,54.463851,66.596150,50.748993,22.820000,16.417813
54.796536,65.810998,139.053633,143.605517,41.281009,57.747119,59.706553,12.672178,135.047605,1.396507,65.808840,55.287574,142.315580,137.311006,139.880742,136.177346,81.540175,135.562593,0.001952,0.015587,32.000000,-237.334321,136.358297,0.415968,13.629359,0.659926,263021.298735,0.911087,20.759808,16.882118,2.537460,68.318742,73.317573,87.714081,2.185945,54.460144,66.596150,50.759794,22.820000,16.417813
54.785527,65.803461,138.970702,143.617019,41.286491,57.726923,59.713684,12.672749,135.040320,1.396506,65.797731,55.277111,142.326796,137.308790,139.888834,136.174785,81.539338,135.557488,0.001946,0.015529,32.000000,-237.333984,136.353800,0.415901,13.612305,0.659284,263021.265198,0.911251,20.762093,16.880352,2.537137,68.321229,73.316260,87.719976,2.185945,54.410197,66.596150,50.770827,22.820000,16.417813
54.774814,65.797575,139.016835,143.625841,41.293305,57.726989,59.723827,12.671885,135.041993,1.008178,65.789309,55.268259,142.336841,137.306449,139.895967,136.172061,81.538623,135.553046,0.001947,0.015494,32.000000,-237.334837,136.397737,0.287791,13.600391,0.658687,262965.283229,0.912669,20.765526,16.879564,2.537635,68.323901,73.315221,87.723498,2.185945,54.442186,66.596150,50.783054,22.820000,16.417813
54.766660,65.790589,138.983389,143.635686,41.306857,57.710872,59.824431,12.671901,135.030236,1.258987,65.779805,55.259175,142.348402,137.306522,139.904597,136.165882,81.538205,135.553501,0.001989,0.015495,32.000000,-237.335033,136.277515,0.386163,13.598134,0.659005,262871.990931,0.912425,20.768583,16.877928,2.536632,68.326684,73.314943,87.725657,2.185945,54.427348,66.596150,50.795816,22.820000,16.417813
54.760280,65.785072,139.040205,143.643225,41.359790,57.702783,59.703004,12.671459,135.028106,1.387416,65.772444,55.252477,142.357757,137.301755,139.911826,136.161894,81.537605,135.547601,0.001994,0.015532,32.000000,-237.335432,136.274650,0.416084,13.598874,0.659966,262872.115429,0.912454,20.773008,16.876488,2.537970,68.327143,73.314425,87.726132,2.185945,54.459557,66.596150,50.806822,22.920000,16.417813
54.750989,65.779111,139.019455,143.650895,41.408920,57.702594,59.826383,12.671385,135.022377,1.391717,65.763524,55.245476,142.367490,137.296126,139.920182,136.154355,81.535457,135.546811,0.001955,0.015549,32.000000,-237.335557,136.266677,0.416078,13.601699,0.659823,262796.476793,0.910798,20.773869,16.877126,2.537737,68.327136,73.313454,87.725260,2.185945,54.453982,66.596150,50.822560,22.920000,16.417813
54.742447,65.773963,139.017610,143.656345,41.432231,57.694403,59.740867,12.669742,135.016178,1.391712,65.756269,55.237357,142.375548,137.288997,139.926747,136.149295,81.533550,135.540924,0.001945,0.015533,32.000000,-237.337288,136.260780,0.415950,13.602773,0.660075,262757.939057,0.912627,20.774493,16.874866,2.539070,68.326720,73.312698,87.724080,2.185945,54.456206,66.596150,50.836597,22.920000,16.417813
