OSU 80 Ton Compressor Load Stand
J Singleton
Measured on:
Tuesday, February 5, 2019
3:14:38 PM

1
Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub,Pressure Ratio,Tamb,Twi,Twe,Bypass Position,Water Pump Speed,MG,SG,ML,SL
psia,F,psia,F,lbm/min,lbm/min,Hz,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min,kW,,Btu/h,,F,F,,F,F,F,,Hz,,,,
49.856754,60.011479,139.053575,145.369072,31.842500,52.482620,59.814561,12.652711,135.742689,1.213570,59.801491,50.390382,144.040728,137.975694,141.549573,136.940252,84.255114,136.364903,0.001949,-1.862419,32.000000,-237.354458,137.040358,0.272885,13.601048,0.659518,233944.262128,0.905337,19.864559,14.549580,2.788946,68.394970,75.919199,87.200612,10.100000,54.108550,52.496058,55.323768,24.757679,13.119976
49.845524,60.009918,139.065595,145.381465,31.937621,52.478499,59.801762,12.652320,135.743801,1.213427,59.794110,50.382063,144.050791,137.980262,141.552377,136.945003,84.257282,136.367569,0.001953,-1.862398,32.000000,-237.354925,137.043750,0.272937,13.598507,0.659621,233914.550695,0.905213,19.882714,14.551552,2.789256,68.393761,75.921501,87.205588,10.100000,54.110090,52.496058,55.322913,24.757679,13.119940
49.836237,60.006142,139.064522,145.391586,32.009344,52.478261,59.809669,12.652461,135.748540,1.205741,59.788942,50.379097,144.059541,137.982056,141.555192,136.948396,84.258392,136.365973,0.001938,-1.862430,32.000000,-237.354699,137.045837,0.273156,13.603315,0.659169,233825.535468,0.904807,19.892026,14.552749,2.789062,68.393636,75.923654,87.209930,10.100000,54.107856,52.496058,55.323199,24.757679,13.119357
49.830177,60.001603,139.090921,145.403505,32.012921,52.478371,59.777986,12.652837,135.744970,1.205572,59.782989,50.371923,144.069570,137.985201,141.558557,136.949655,84.260496,136.364491,0.001937,-1.865938,32.000000,-237.354477,137.024059,0.272608,13.604154,0.659465,233807.440253,0.905150,19.902081,14.551867,2.789931,68.393255,75.926296,87.213645,10.100000,54.133490,52.496058,55.321944,24.757679,13.118757
49.823670,59.999075,139.109659,145.413205,32.053116,52.478240,59.809591,12.652983,135.737161,1.614673,59.784182,50.360238,144.078779,137.984905,141.561625,136.950376,84.262002,136.362696,0.001937,-1.867092,32.000000,-237.354351,137.019409,0.412276,13.598361,0.659358,233805.642398,0.905203,19.907914,14.549987,2.790430,68.392559,75.928642,87.216280,10.100000,54.146428,52.496058,55.321918,24.757679,13.118340
49.815275,60.000394,139.160813,145.424772,32.247247,52.478206,59.762762,12.653217,135.732456,1.661535,59.800849,50.351491,144.089383,137.987286,141.563646,136.947360,84.262038,136.361306,0.001977,-1.867700,32.000000,-237.354079,137.018676,0.421778,13.593586,0.659518,233803.099176,0.905795,19.909644,14.547167,2.791299,68.389884,75.930776,87.217391,10.100000,54.188661,52.496058,55.324511,24.757679,13.118329
49.809191,60.009099,139.140451,145.434986,32.340765,52.478214,59.797865,12.652615,135.727114,1.667346,59.817434,50.346680,144.098939,137.984034,141.566732,136.942526,84.263732,136.355321,0.001951,-1.867151,32.000000,-237.354744,137.015337,0.421589,13.598112,0.659976,233800.991834,0.905438,19.913849,14.544795,2.792040,68.390627,75.934352,87.218660,10.100000,54.184973,52.496058,55.326569,24.757679,13.119431
49.803985,60.021866,139.093094,145.447613,32.412777,52.477956,59.798290,12.654361,135.728581,1.532647,59.832586,50.341619,144.109584,137.981639,141.570799,136.937782,84.265436,136.350367,0.001945,-1.867165,32.000000,-237.353117,137.061820,0.367183,13.592473,0.660577,233804.410925,0.906318,19.923857,14.544087,2.793537,68.392370,75.937845,87.219582,10.100000,54.164903,52.496058,55.327934,24.757679,13.121272
49.794775,60.031002,139.079330,145.457450,32.502754,52.477820,59.811175,12.653995,135.720637,1.236047,59.846288,50.334580,144.119133,137.977933,141.575079,136.931719,84.267452,136.341422,0.001947,-1.869490,32.000000,-237.353363,137.043561,0.273728,13.595211,0.660372,233810.800732,0.905928,19.938859,14.539504,2.793469,68.396346,75.940727,87.219598,10.100000,54.158451,52.496058,55.335181,24.757679,13.122646
49.793337,60.041433,139.122289,145.468880,32.636997,52.477657,59.786515,12.655035,135.706840,1.635764,59.855442,50.333340,144.129670,137.970311,141.580146,136.925749,84.268079,136.331180,0.001987,-1.869500,32.000000,-237.352249,136.985399,0.412614,13.602521,0.660513,233818.116334,0.906052,19.957012,14.535410,2.792811,68.401172,75.942845,87.219934,10.100000,54.188167,52.496058,55.333840,24.757679,13.124202
