OSU 80 Ton Compressor Load Stand
J Singleton
Measured on:
Wednesday, February 6, 2019
6:57:10 PM

1
Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub,Pressure Ratio,Tamb,Twi,Twe,Bypass Position,Water Pump Speed,MG,SG,ML,SL
psia,F,psia,F,lbm/min,lbm/min,Hz,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min,kW,,Btu/h,,F,F,,F,F,F,,Hz,,,,
41.425334,51.625342,138.029998,149.976136,44.746180,43.658647,59.785574,12.706359,135.344344,1.669696,51.309421,41.974420,148.459496,137.341757,145.337049,136.446353,82.986512,135.876177,0.002021,0.014983,32.000000,-237.300937,136.513319,0.526716,13.476911,0.651430,193230.225964,0.902949,20.886129,15.520598,3.329344,68.505527,75.190221,87.616993,10.000000,46.919113,45.700000,50.303295,22.556962,13.071757
41.432501,51.608801,138.077841,149.995180,44.763522,43.658445,59.789616,12.705963,135.397021,2.186320,51.253664,41.981958,148.469346,137.400504,145.338930,136.504753,82.986529,135.932816,0.002060,0.015017,32.000000,-237.301487,136.542481,0.690050,13.487777,0.651388,193225.625400,0.901445,20.871845,15.556224,3.331581,68.506101,75.184867,87.617856,10.000000,46.917994,45.700000,50.207817,22.556962,13.071045
41.422955,51.578640,138.156436,150.018330,44.711397,43.658445,59.798069,12.706847,135.475288,1.761319,51.181731,41.970786,148.482950,137.475652,145.343186,136.578878,82.986204,136.010165,0.002062,0.015019,32.000000,-237.300537,136.648526,0.547469,13.501286,0.651047,193219.561578,0.901857,20.856200,15.585131,3.332019,68.507039,75.179555,87.618885,10.000000,46.960942,45.700000,50.108050,22.556962,13.068917
41.408390,51.548959,138.168033,150.040448,44.937248,43.658524,59.788203,12.706376,135.532917,1.735155,51.124013,41.958939,148.495499,137.531531,145.346631,136.635295,82.985755,136.071203,0.002021,0.015021,32.000000,-237.300833,136.709435,0.542629,13.490526,0.650571,193207.695949,0.901584,20.831115,15.612523,3.332597,68.506337,75.174019,87.617801,10.000000,46.927108,45.700000,50.037567,22.556962,13.066316
41.387533,51.513944,138.211867,150.073901,45.116553,43.645974,59.796047,12.707086,135.605526,1.735474,51.051630,41.936672,148.513909,137.600224,145.354701,136.703924,82.985461,136.144917,0.002016,0.015041,32.000000,-237.300011,136.778742,0.542895,13.496194,0.650325,193194.463348,0.901612,20.812335,15.650264,3.335263,68.504979,75.167271,87.616251,10.000000,46.943269,45.700000,49.959012,22.556962,13.063079
41.378325,51.483893,138.245040,150.105569,45.373306,43.633686,59.798356,12.708100,135.663884,1.735330,50.973818,41.920490,148.533259,137.657830,145.361398,136.764854,82.984845,136.204741,0.002028,0.015071,32.000000,-237.298951,136.839552,0.542705,13.503206,0.651060,193183.340034,0.902037,20.800024,15.680228,3.336716,68.503839,75.160604,87.614330,10.000000,46.948721,45.700000,49.890192,22.556962,13.060313
41.365268,51.435474,138.317610,150.146150,45.299739,43.633266,59.792134,12.707439,135.734256,1.735394,50.834594,41.903939,148.559018,137.732589,145.371029,136.835229,82.983394,136.280012,0.002068,0.015097,32.000000,-237.299711,136.912245,0.542566,13.529446,0.651029,193115.569917,0.902070,20.789894,15.716153,3.339457,68.501754,75.152846,87.612010,10.000000,46.962741,45.700000,49.806098,22.556962,13.055725
41.348717,51.379372,138.442651,150.180074,45.469455,43.620850,59.785381,12.707119,135.797005,1.668393,50.714141,41.880230,148.582908,137.791903,145.381234,136.896443,82.982407,136.346644,0.002030,0.015091,32.000000,-237.299977,136.985187,0.516988,13.544327,0.650724,193047.942659,0.901929,20.770830,15.745675,3.341001,68.499697,75.146555,87.611596,10.000000,47.013701,45.700000,49.745273,22.556962,13.049388
41.314820,51.304708,138.509842,150.222568,45.530986,43.600077,59.783361,12.707237,135.871947,1.314270,50.576648,41.844356,148.611648,137.862092,145.393793,136.966636,82.980729,136.419204,0.002026,0.015082,32.000000,-237.299762,137.071360,0.409868,13.542600,0.649856,193025.047985,0.902210,20.737998,15.783483,3.343810,68.497442,75.139390,87.611409,10.000000,47.042552,45.700000,49.689575,22.556962,13.040302
