OSU 80 Ton Compressor Load Stand
J Singleton
Measured on:
Thursday, February 7, 2019
12:52:55 PM

1
Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub,Pressure Ratio,Tamb,Twi,Twe,Bypass Position,Water Pump Speed,MG,SG,ML,SL
psia,F,psia,F,lbm/min,lbm/min,Hz,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min,kW,,Btu/h,,F,F,,F,F,F,,Hz,,,,
33.367649,39.662560,138.990307,160.626693,50.688829,35.422906,59.796722,12.775278,136.677821,1.772590,36.569601,33.884211,158.762063,138.788084,154.798713,137.920547,85.417178,137.479812,0.002047,-1.285063,32.000000,-237.231249,137.951910,0.458357,13.518369,0.622174,152030.475291,0.896207,19.367883,13.918279,4.168346,68.649878,77.246156,88.469963,14.371387,56.859083,36.467611,43.584834,22.800000,13.396185
33.380648,39.664951,138.822599,160.605467,49.976656,35.438284,59.831817,12.775017,136.692162,1.775770,36.574442,33.899618,158.743121,138.798428,154.787420,137.929131,85.418500,137.493491,0.002049,-1.288008,32.000000,-237.231392,137.961171,0.458306,13.522099,0.621541,152023.330076,0.896079,19.344433,13.922354,4.164402,68.653001,77.247202,88.470396,14.371387,56.794578,36.467611,43.538838,22.800000,13.396117
33.393748,39.672384,138.808192,160.580489,51.430135,35.462613,59.735164,12.774301,136.704911,1.775964,36.578568,33.914701,158.720611,138.810218,154.773982,137.942998,85.421628,137.503641,0.002090,-1.291486,32.000000,-237.232042,137.969628,0.458617,13.514389,0.621642,152015.478927,0.895853,19.318180,13.927190,4.165421,68.656795,77.248652,88.470000,14.371387,56.746614,36.467611,43.485052,22.800000,13.396692
33.407077,39.679110,138.840456,160.559906,50.962459,35.474497,59.806117,12.773768,136.716471,1.776055,36.583801,33.926517,158.700917,138.819797,154.763743,137.949798,85.423393,137.513991,0.002072,-1.294383,32.000000,-237.232556,137.976395,0.458202,13.520034,0.621006,152078.022127,0.895347,19.302256,13.932431,4.158775,68.659422,77.249270,88.469245,14.371387,56.743414,36.467611,43.434831,22.800000,13.397343
33.422474,39.687597,138.840371,160.535304,50.646001,35.498967,59.790999,12.773613,136.728968,1.776426,36.611589,33.945085,158.677982,138.834602,154.753669,137.958572,85.424578,137.526763,0.002054,-1.297880,32.000000,-237.232655,137.984139,0.458341,13.518380,0.621554,152179.939290,0.897051,19.291236,13.934172,4.156712,68.661868,77.250435,88.468919,14.371387,56.772075,36.467611,43.374685,22.800000,13.398178
33.438962,39.694140,138.835071,160.515152,51.535828,35.519396,59.812940,12.774127,136.738251,1.776940,36.623911,33.960672,158.657630,138.847396,154.742592,137.968435,85.426105,137.538106,0.002053,-1.299639,32.000000,-237.232197,137.995412,0.458341,13.516711,0.621414,152229.049042,0.895919,19.279194,13.937372,4.156019,68.662613,77.250954,88.467362,14.371387,56.791067,36.467611,43.317882,22.800000,13.398830
33.455074,39.694973,138.899012,160.489812,51.267905,35.544003,59.813934,12.773645,136.760677,1.324174,36.598644,33.977637,158.635707,138.861746,154.732083,137.979864,85.427151,137.550606,0.002053,-1.303105,32.000000,-237.232724,138.107226,0.294983,13.513227,0.621690,152332.586823,0.896340,19.266009,13.942312,4.154102,68.664865,77.252928,88.466718,14.371387,56.764283,36.467611,43.249529,22.800000,13.398857
33.463671,39.689780,138.758511,160.467808,51.180946,35.564351,59.706159,12.773715,136.773593,1.059954,36.581584,33.986733,158.617370,138.874370,154.722062,137.994450,85.427278,137.563913,0.002057,-1.305418,32.000000,-237.232844,138.127496,0.215800,13.515951,0.621863,152417.367217,0.896067,19.249352,13.946227,4.151895,68.666316,77.255558,88.464937,14.371387,56.717835,36.467611,43.194595,22.800000,13.397912
33.475260,39.688649,138.646521,160.442496,51.756536,35.588811,59.810430,12.773454,136.788808,1.056401,36.624185,33.995927,158.594512,138.891033,154.709804,138.008324,85.428691,137.573699,0.002043,-1.307175,32.000000,-237.233221,138.142530,0.215653,13.521090,0.622416,152517.916917,0.896212,19.227522,13.951175,4.151807,68.668414,77.259040,88.461204,14.371387,56.656503,36.467611,43.129226,22.800000,13.396964
