Torad 40 Ton Compressor Load Stand
J Singleton
Measured on:
Monday, December 17, 2018
2:03:20 PM

1
Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub,Pressure Ratio,Tamb,Twi,Twe,Bypass Position,Water Pump Speed,MG,SG,ML,SL
psia,F,psia,F,lbm/min,lbm/min,rpm,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min,kW,,Btu/h,,F,F,,F,F,F,,Hz,,,,
55.337120,65.523930,85.977696,114.844966,60.982835,58.938911,59.419974,12.962465,79.514373,0.397312,65.715426,56.098642,113.714614,81.269689,111.850913,79.809519,52.850935,79.267730,0.001961,0.013400,32.000000,-237.044716,80.107260,0.182517,9.848658,0.436139,300137.539196,0.924821,19.960491,12.544067,1.553769,68.935057,56.735863,70.174883,12.381206,39.010746,100.000000,97.129743,21.012658,14.333117
55.342342,65.526149,85.980399,114.849945,60.856668,58.954933,59.424275,12.962668,79.519809,0.424733,65.714727,56.104829,113.720320,81.269080,111.858045,79.809990,52.850415,79.271075,0.001964,0.013377,32.000000,-237.044651,80.098857,0.182445,9.850181,0.436251,300139.336762,0.925428,19.962115,12.541030,1.553796,68.938971,56.733476,70.177892,12.381206,39.015935,100.000000,97.055057,21.012658,14.334332
55.350902,65.527882,85.988301,114.854053,60.828316,58.954944,59.450620,12.962973,79.524964,0.591702,65.709117,56.109027,113.725703,81.270808,111.864208,79.810855,52.850503,79.276764,0.001933,0.013398,32.000000,-237.044534,80.033098,0.244534,9.850510,0.436102,300140.481028,0.925169,19.960276,12.541312,1.553707,68.941864,56.733668,70.181124,12.381206,39.024260,100.000000,96.985092,21.012658,14.335339
55.355871,65.525792,85.989453,114.858394,60.774223,58.954629,59.359190,12.961986,79.527900,0.716252,65.700309,56.116119,113.731266,81.274291,111.871436,79.816645,52.848858,79.278278,0.001927,0.013396,32.000000,-237.045537,80.036676,0.285980,9.854689,0.436087,300222.823884,0.925262,19.957510,12.544261,1.553610,68.944906,56.732973,70.183869,12.381206,39.028858,100.000000,96.905868,21.012658,14.336074
55.360741,65.523322,85.994843,114.862058,60.741588,58.954375,59.427979,12.961599,79.533272,0.703441,65.691885,56.124028,113.735317,81.278546,111.876442,79.820140,52.847063,79.284479,0.001925,0.013387,32.000000,-237.045943,80.041159,0.285972,9.856185,0.436006,300221.929085,0.924698,19.951069,12.548308,1.553512,68.946384,56.732660,70.185789,12.381206,39.035098,100.000000,96.839723,21.012658,14.336452
55.371518,65.519262,86.003972,114.866133,60.692848,58.954262,59.398110,12.961608,79.540732,0.653287,65.678562,56.133091,113.739740,81.284863,111.883863,79.829694,52.846024,79.289890,0.001944,0.013346,32.000000,-237.045865,80.053897,0.286038,9.855657,0.435736,300219.513352,0.926020,19.944234,12.551053,1.553394,68.946189,56.731152,70.187587,12.381206,39.044707,100.000000,96.750935,21.012658,14.336843
55.374736,65.513465,86.009011,114.868698,60.771307,58.954026,59.433823,12.960702,79.549281,0.568102,65.660618,56.137735,113.743338,81.288699,111.890141,79.839406,52.844606,79.294617,0.001950,0.013316,32.000000,-237.046579,80.119428,0.258298,9.859046,0.435629,300217.135855,0.924848,19.937114,12.557351,1.553354,68.944715,56.728802,70.189902,12.381206,39.052074,100.000000,96.683793,21.012658,14.336814
55.383131,65.502667,86.017360,114.870552,60.868953,58.962398,59.427729,12.959822,79.563094,0.375716,65.640251,56.141511,113.748292,81.301085,111.898601,79.852024,52.844001,79.303519,0.001952,0.013287,32.000000,-237.047557,80.165166,0.181400,9.857240,0.435554,300211.815910,0.925102,19.922768,12.562321,1.553217,68.943924,56.727178,70.193078,12.381206,39.061472,100.000000,96.596783,21.012658,14.336222
55.389923,65.492326,86.028054,114.871584,60.978754,58.962366,59.403344,12.961273,79.574723,0.369929,65.620814,56.150707,113.751118,81.312851,111.904762,79.860793,52.842099,79.314208,0.001952,0.013265,32.000000,-237.045950,80.175637,0.181616,9.857626,0.435396,300206.544467,0.924468,19.913898,12.567172,1.553218,68.942769,56.724798,70.194082,12.381206,39.071813,100.000000,96.525106,21.012658,14.335444
55.404339,65.478794,86.043424,114.872742,61.100751,58.962146,59.444079,12.961715,79.587987,0.367690,65.591708,56.162776,113.754681,81.325779,111.912199,79.871142,52.840653,79.323964,0.001974,0.013286,32.000000,-237.045496,80.193159,0.181279,9.861608,0.435458,300239.423810,0.924512,19.895088,12.574242,1.553133,68.943200,56.722045,70.196078,12.381206,39.086462,100.000000,96.429713,21.012658,14.334435
