Torad 40 Ton Compressor Load Stand
J Singleton
Measured on:
Monday, December 17, 2018
3:44:34 PM

1
Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub,Pressure Ratio,Tamb,Twi,Twe,Bypass Position,Water Pump Speed,MG,SG,ML,SL
psia,F,psia,F,lbm/min,lbm/min,rpm,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min,kW,,Btu/h,,F,F,,F,F,F,,Hz,,,,
54.817449,65.169938,101.377741,122.717425,63.010561,58.155000,59.393669,12.969918,96.392317,0.772903,65.398563,55.625279,121.544002,97.864260,119.379711,96.667714,56.283297,96.373543,0.001925,0.014041,32.000000,-237.036894,96.873724,0.220477,10.835388,0.548077,292260.923540,0.921782,20.090437,20.645580,1.849323,68.869614,57.003926,77.057749,43.043022,36.960147,99.000000,50.432861,19.012658,11.088984
54.816274,65.173708,101.377879,122.726096,63.010590,58.154866,59.400819,12.971342,96.396866,0.449188,65.401615,55.625834,121.552758,97.863820,119.389084,96.665963,56.284654,96.375152,0.001968,0.014049,32.000000,-237.035408,96.946804,0.119803,10.832098,0.547769,292262.328034,0.921904,20.096341,20.640347,1.849355,68.866077,56.998761,77.056751,43.043022,36.960600,99.000000,50.450164,19.012658,11.090160
54.819638,65.178477,101.378630,122.736257,63.018107,58.154966,59.356511,12.973242,96.400230,0.418005,65.403644,55.630924,121.562340,97.863831,119.399136,96.667019,56.285462,96.370362,0.001966,0.014071,32.000000,-237.033642,96.948508,0.115103,10.824066,0.547564,292264.302759,0.921985,20.104348,20.634145,1.849370,68.862583,56.991454,77.054064,43.043022,36.959864,99.000000,50.465002,19.012658,11.091555
54.820628,65.181799,101.379047,122.744334,63.001780,58.155160,59.411641,12.972551,96.400276,0.417983,65.404244,55.629268,121.570601,97.866266,119.408429,96.665997,56.287220,96.371865,0.001964,0.014088,32.000000,-237.034468,96.945391,0.115187,10.829876,0.547759,292265.144479,0.921903,20.109249,20.633796,1.849412,68.861296,56.984954,77.052524,43.043022,36.959678,99.000000,50.476651,19.012658,11.092692
54.818592,65.184324,101.379298,122.753422,62.957541,58.155278,59.406565,12.973227,96.401955,0.417772,65.405583,55.628369,121.579484,97.870223,119.419028,96.670292,56.288621,96.369399,0.001964,0.014077,32.000000,-237.034054,96.944399,0.114907,10.830321,0.548122,292267.526574,0.922542,20.110781,20.629985,1.849312,68.860568,56.977279,77.049743,43.043022,36.959367,99.000000,50.495718,19.012658,11.093714
54.817531,65.186783,101.376678,122.760893,62.960017,58.155422,59.342087,12.973294,96.400451,0.582877,65.409739,55.625595,121.587595,97.871807,119.428096,96.670995,56.289414,96.367364,0.002006,0.014055,32.000000,-237.034033,96.845969,0.172845,10.832673,0.547822,292268.663879,0.921679,20.113151,20.629168,1.849286,68.860095,56.970973,77.047860,43.043022,36.957311,99.000000,50.512356,19.012658,11.094560
54.817420,65.191618,101.374923,122.770010,62.927458,58.155433,59.398849,12.974106,96.399878,0.858153,65.414181,55.621694,121.596972,97.869367,119.437722,96.670135,56.291253,96.370159,0.001974,0.014038,32.000000,-237.033378,96.798274,0.256297,10.837008,0.547839,292270.477206,0.921804,20.117634,20.626223,1.849360,68.858927,56.962799,77.045240,43.043022,36.955136,99.000000,50.529894,19.012658,11.095981
54.818844,65.195911,101.375018,122.777308,62.881480,58.155456,59.361533,12.975652,96.404467,0.858826,65.417718,55.625865,121.604102,97.870436,119.445339,96.671407,56.292201,96.371858,0.001964,0.014034,32.000000,-237.031795,96.798510,0.256149,10.833829,0.547717,292272.525783,0.922833,20.121114,20.624153,1.849348,68.859068,56.954373,77.043698,43.043022,36.954419,99.000000,50.541716,19.012658,11.097268
54.818801,65.201221,101.376145,122.786172,62.853610,58.155472,59.366917,12.977009,96.408614,0.858713,65.424086,55.621878,121.613099,97.873783,119.454761,96.674131,56.294541,96.373002,0.001967,0.014061,32.000000,-237.030465,96.797553,0.255989,10.831401,0.547496,292274.194412,0.921966,20.126055,20.624066,1.849320,68.861063,56.943704,77.043591,43.043022,36.954105,99.000000,50.558872,19.012658,11.098866
54.815552,65.206381,101.374271,122.793818,62.825011,58.155454,59.402566,12.977448,96.408456,0.858641,65.430678,55.622274,121.619877,97.872267,119.461604,96.676485,56.295930,96.374068,0.001966,0.014042,32.000000,-237.029824,96.796639,0.256230,10.833332,0.547642,292275.937944,0.922530,20.128980,20.624184,1.849273,68.861952,56.934011,77.043206,43.043022,36.952296,99.000000,50.577050,19.012658,11.100309
54.816583,65.214461,101.373706,122.803762,62.791959,58.155123,59.380324,12.978282,96.414252,0.858398,65.441931,55.615256,121.629962,97.871327,119.471576,96.676997,56.297757,96.372754,0.001930,0.014057,32.000000,-237.028921,96.792755,0.255961,10.840351,0.547779,292277.557990,0.922460,20.134330,20.622560,1.849295,68.863913,56.922030,77.043786,43.043022,36.950624,99.000000,50.595593,19.012658,11.102485
54.817058,65.222929,101.373428,122.812734,62.803759,58.154955,59.362987,12.979444,96.415961,0.858407,65.449626,55.615415,121.638548,97.873122,119.479683,96.680511,56.298471,96.375861,0.001920,0.014052,32.000000,-237.027699,96.793422,0.256051,10.839248,0.547727,292280.603092,0.921979,20.142614,20.621839,1.849371,68.867570,56.913028,77.045071,43.043022,36.950954,99.000000,50.607545,19.012658,11.104678
54.816038,65.231295,101.370641,122.823182,62.808024,58.154903,59.419849,12.978360,96.414852,0.858194,65.454911,55.612227,121.647918,97.873151,119.488989,96.682165,56.298994,96.374009,0.001919,0.014080,32.000000,-237.028885,96.791151,0.256307,10.839516,0.547370,292282.722605,0.922320,20.149704,20.619189,1.849326,68.872992,56.903940,77.046633,43.043022,36.947979,99.000000,50.626916,19.012658,11.106927
54.814287,65.236110,101.371207,122.831311,62.783430,58.154630,59.439699,12.978170,96.414667,0.858168,65.458137,55.612344,121.655798,97.876282,119.496801,96.684845,56.298987,96.372489,0.001922,0.014079,32.000000,-237.029078,96.789739,0.256187,10.840155,0.547415,292287.366695,0.922599,20.157715,20.620423,1.849304,68.877657,56.897774,77.046957,43.043022,36.947571,99.000000,50.643170,19.012658,11.109227
54.812851,65.241484,101.372662,122.841161,62.759179,58.154641,59.386293,12.978956,96.418515,0.857988,65.467120,55.609725,121.666271,97.879123,119.507169,96.686579,56.300187,96.371815,0.001965,0.014014,32.000000,-237.028292,96.788381,0.256383,10.834679,0.547413,292293.341763,0.921755,20.167062,20.618739,1.849288,68.885348,56.891332,77.047614,43.043022,36.946876,99.000000,50.664543,19.012658,11.111761
54.808299,65.247224,101.370407,122.849686,62.747004,58.154457,59.404443,12.978426,96.421591,0.840030,65.473487,55.606983,121.674890,97.882715,119.515352,96.687992,56.299507,96.369716,0.001963,0.013983,32.000000,-237.028722,96.806397,0.248506,10.835887,0.547424,292296.119916,0.921487,20.173563,20.617793,1.849357,68.892228,56.886400,77.047799,43.043022,36.945686,99.000000,50.683067,19.012658,11.114215
54.805686,65.254498,101.367319,122.860545,62.706272,58.154399,59.396446,12.978227,96.426879,0.495558,65.480895,55.604999,121.684040,97.884509,119.524441,96.691988,56.298622,96.368266,0.001961,0.013993,32.000000,-237.028881,96.925342,0.135980,10.834568,0.547746,292299.401413,0.922356,20.180317,20.616171,1.849432,68.901144,56.880461,77.047822,43.043022,36.943065,99.000000,50.704928,19.012658,11.117415
54.805120,65.260939,101.366272,122.869711,62.702013,58.154179,59.403905,12.978889,96.428513,0.407959,65.486591,55.604739,121.693255,97.889676,119.532941,96.694478,56.297964,96.369224,0.001963,0.014020,32.000000,-237.027976,96.926421,0.115896,10.829838,0.547744,292304.934630,0.922170,20.190436,20.615534,1.849545,68.908966,56.875643,77.048490,43.043022,36.941487,99.000000,50.721869,19.012658,11.120198
54.805523,65.268222,101.367490,122.880640,62.669511,58.154095,59.395075,12.979976,96.429861,0.407926,65.493662,55.605771,121.705675,97.895882,119.544336,96.698157,56.298264,96.371281,0.002005,0.014018,32.000000,-237.026882,96.926190,0.115462,10.831933,0.547844,292311.743662,0.922360,20.200223,20.615510,1.849577,68.918929,56.869888,77.049824,43.043022,36.940336,99.000000,50.741371,19.012658,11.123506
54.801808,65.274088,101.365008,122.889695,62.653281,58.153885,59.280808,12.979694,96.432196,0.408029,65.499874,55.601378,121.715367,97.899274,119.553187,96.702540,56.298409,96.371868,0.001969,0.014014,32.000000,-237.027346,96.926644,0.115521,10.830673,0.548088,292316.543622,0.922267,20.207210,20.616770,1.849577,68.926076,56.865201,77.049914,43.043022,36.938751,99.000000,50.760217,19.012658,11.126162
54.797894,65.281506,101.363681,122.900643,62.616442,58.153917,59.387512,12.978190,96.434427,0.408163,65.511705,55.598043,121.728153,97.900701,119.564949,96.707030,56.299940,96.372923,0.001960,0.013991,32.000000,-237.028820,96.928229,0.115507,10.833812,0.547996,292321.146221,0.922414,20.214104,20.617759,1.849585,68.934806,56.859278,77.051548,43.043022,36.936997,99.000000,50.785581,19.012658,11.129467
54.795960,65.289410,101.361452,122.910013,62.581742,58.153654,59.363970,12.978320,96.438188,0.408126,65.519918,55.595747,121.737488,97.900989,119.573000,96.714941,56.298487,96.375832,0.001961,0.013979,32.000000,-237.028626,96.929413,0.115379,10.832894,0.548120,292325.574644,0.924272,20.223545,20.617981,1.849665,68.940313,56.855112,77.051835,43.043022,36.934071,99.000000,50.806405,19.012658,11.132705
54.796739,65.298673,101.359174,122.921130,62.555325,58.153182,59.406315,12.978680,96.440716,0.449744,65.529260,55.594940,121.750017,97.902347,119.583138,96.718420,56.297917,96.379574,0.001963,0.013975,32.000000,-237.028066,96.878436,0.132505,10.827448,0.548025,292330.354100,0.922703,20.234728,20.617113,1.849773,68.943922,56.850193,77.052804,43.043022,36.931722,99.000000,50.827260,19.012658,11.136721
54.798033,65.306054,101.361468,122.930683,62.546972,58.152962,59.422984,12.979413,96.442367,0.672346,65.535420,55.596136,121.760407,97.902925,119.591274,96.720478,56.297858,96.381177,0.001931,0.013928,32.000000,-237.027142,96.859223,0.199230,10.825965,0.548102,292337.269328,0.923121,20.244493,20.620389,1.849798,68.947284,56.845183,77.053966,43.043022,36.932185,99.000000,50.841124,19.012658,11.139995
54.797118,65.313749,101.364528,122.942204,62.546723,58.152694,59.374242,12.979996,96.445475,0.418580,65.543592,55.597620,121.773595,97.905862,119.601661,96.726771,56.297696,96.381988,0.001922,0.013927,32.000000,-237.026466,96.930883,0.116269,10.826923,0.548344,292342.590061,0.922464,20.253005,20.623304,1.849730,68.952135,56.840490,77.055539,43.043022,36.932769,99.000000,50.864219,19.012658,11.143569
54.793479,65.321447,101.365625,122.953511,62.534917,58.152862,59.420640,12.979169,96.448430,0.407125,65.551390,55.592143,121.788551,97.909462,119.613885,96.729579,56.298515,96.386367,0.001920,0.013928,32.000000,-237.027347,96.935691,0.113979,10.827232,0.548434,292346.758712,0.922195,20.259143,20.624368,1.849728,68.955986,56.836918,77.056511,43.043022,36.931951,99.000000,50.888884,19.012658,11.147175
54.790610,65.327418,101.363835,122.962511,62.540528,58.152799,59.313771,12.977929,96.452225,0.407195,65.557917,55.585599,121.799542,97.906761,119.621516,96.732203,56.297097,96.388206,0.001924,0.013906,32.000000,-237.028401,96.938915,0.114028,10.826651,0.548435,292351.952068,0.922984,20.267718,20.625037,1.849815,68.957664,56.832937,77.056427,43.043022,36.930691,99.000000,50.910009,19.012658,11.150045
54.788996,65.334640,101.363337,122.973362,62.548123,58.152532,59.402273,12.977436,96.455554,0.407152,65.564685,55.583264,121.813418,97.915938,119.634191,96.733340,56.296797,96.391696,0.001967,0.013937,32.000000,-237.029012,96.942397,0.113717,10.835105,0.548503,292358.394403,0.922353,20.278917,20.626963,1.849958,68.961858,56.830004,77.056144,43.043022,36.928773,99.000000,50.933899,19.012658,11.153524
54.788064,65.339596,101.363479,122.982145,62.539570,58.152485,59.390613,12.977889,96.455457,0.428923,65.567392,55.584541,121.822648,97.919631,119.643027,96.737315,56.295526,96.396618,0.001965,0.013899,32.000000,-237.028605,96.921892,0.122451,10.831870,0.548577,292365.092867,0.924082,20.287649,20.629533,1.850022,68.964279,56.827322,77.055118,43.043022,36.927907,99.000000,50.953456,19.012658,11.156185
54.786113,65.343314,101.360424,122.990839,62.499308,58.152353,59.419888,12.976835,96.456907,0.682148,65.569515,55.583121,121.832515,97.920945,119.651681,96.738091,56.294887,96.398039,0.001962,0.013886,32.000000,-237.029751,96.852460,0.203344,10.833057,0.548186,292370.113742,0.922749,20.296423,20.632020,1.850067,68.965197,56.823815,77.053911,43.043022,36.925466,99.000000,50.973110,19.012658,11.158434
54.786267,65.347627,101.359784,123.000834,62.458597,58.152364,59.392238,12.977732,96.458321,0.702752,65.576216,55.584054,121.843845,97.918730,119.661866,96.744229,56.294292,96.398267,0.001965,0.013852,32.000000,-237.028720,96.856829,0.206910,10.831408,0.548369,292375.591720,0.922959,20.302277,20.636377,1.850102,68.965831,56.819876,77.052736,43.043022,36.923075,99.000000,50.997812,19.012658,11.160969
54.787080,65.353017,101.358206,123.009261,62.446264,58.152435,59.417105,12.977462,96.461645,0.702779,65.583341,55.586446,121.852380,97.919412,119.669793,96.744546,56.293719,96.399642,0.002005,0.013832,32.000000,-237.028896,96.859625,0.207242,10.833889,0.548318,292378.717116,0.922548,20.307873,20.637905,1.850112,68.966074,56.817041,77.051954,43.043022,36.921841,99.000000,51.014373,19.012658,11.163632
54.786072,65.360718,101.353793,123.019412,62.442333,58.152519,59.396796,12.976672,96.464177,0.702939,65.589742,55.589930,121.862678,97.918117,119.677754,96.743908,56.292062,96.401797,0.001968,0.013848,32.000000,-237.029742,96.862795,0.207255,10.836467,0.548410,292382.857376,0.922985,20.312036,20.638642,1.850095,68.966067,56.814024,77.051277,43.043022,36.917524,99.000000,51.039181,19.012658,11.167303
54.789368,65.368721,101.355301,123.028851,62.428702,58.152537,59.377016,12.978062,96.468014,0.702984,65.597628,55.591901,121.871919,97.915456,119.686781,96.744069,56.292513,96.404348,0.001957,0.013860,32.000000,-237.028418,96.868524,0.206946,10.835557,0.548254,292387.942476,0.922598,20.316645,20.640077,1.850038,68.966460,56.813441,77.052579,43.043022,36.916173,99.000000,51.058982,19.012658,11.171131
54.790686,65.375592,101.356572,123.036333,62.432935,58.152710,59.378696,12.978827,96.472083,0.703073,65.605223,55.594925,121.880936,97.915418,119.695328,96.746401,56.292756,96.406976,0.001958,0.013840,32.000000,-237.027713,96.872987,0.207295,10.840568,0.548123,292396.191768,0.922953,20.325316,20.643086,1.849992,68.966860,56.813843,77.054399,43.043022,36.916588,99.000000,51.075075,19.012658,11.174404
54.792392,65.383876,101.356051,123.044594,62.433271,58.152946,59.356729,12.978179,96.474314,0.703191,65.611469,55.595543,121.891035,97.915630,119.705192,96.747838,56.293296,96.409318,0.001961,0.013834,32.000000,-237.028623,96.873409,0.206869,10.838505,0.548127,292401.071597,0.923219,20.330148,20.644232,1.849908,68.966521,56.813156,77.056721,43.043022,36.914003,99.000000,51.096453,19.012658,11.178433
54.793607,65.389695,101.353646,123.051117,62.468534,58.153172,59.432587,12.976016,96.473047,0.703213,65.614509,55.592988,121.898014,97.914623,119.713411,96.746958,56.292974,96.409008,0.001924,0.013809,32.000000,-237.030748,96.873460,0.207189,10.839111,0.547881,292406.404260,0.923188,20.335749,20.645635,1.849887,68.966025,56.811721,77.058134,43.043022,36.911974,99.000000,51.111786,19.012658,11.181461
54.800702,65.395297,101.355601,123.058199,62.480172,58.153337,59.390468,12.976633,96.469906,0.930362,65.617887,55.596621,121.906718,97.917003,119.723242,96.747825,56.292433,96.411483,0.001917,0.013800,32.000000,-237.030117,96.775933,0.283189,10.838445,0.547962,292413.023269,0.923522,20.342391,20.646565,1.849820,68.965524,56.809728,77.061246,43.043022,36.911174,99.000000,51.127241,19.012658,11.184749
