Torad 40 Ton Compressor Load Stand
J Singleton
Measured on:
Tuesday, December 18, 2018
1:49:24 PM

2
Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub,Pressure Ratio,Tamb,Twi,Twe,Bypass Position,Water Pump Speed,MG,SG,ML,SL
psia,F,psia,F,lbm/min,lbm/min,rpm,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min,kW,,Btu/h,,F,F,,F,F,F,,Hz,,,,
54.790560,64.739036,101.522489,123.314373,57.686013,58.167227,59.410122,12.745664,96.945044,1.023018,64.816745,55.512979,122.256169,98.689254,120.549782,97.441495,69.744203,96.953587,0.001943,0.013551,32.000000,-237.261760,97.630263,0.311008,10.917970,0.545911,276836.835677,0.921404,19.690103,7.550059,1.854721,68.578194,69.002316,76.104662,13.000000,49.636601,81.582278,75.683077,24.010000,16.340570
54.789951,64.747008,101.361343,123.311274,57.771776,58.167500,59.430295,12.746529,96.939676,0.733607,64.834251,55.512906,122.255321,98.682298,120.549481,97.435601,69.745656,96.946485,0.001946,0.013519,32.000000,-237.260850,97.681388,0.207607,10.922894,0.545553,276919.185946,0.921085,19.695987,7.541861,1.852835,68.578723,69.005501,76.104728,13.000000,49.544839,81.582278,75.705606,24.010000,16.342559
54.790519,64.756730,101.451361,123.309500,57.832357,58.167613,59.406737,12.746374,96.934035,0.660579,64.849182,55.512554,122.252933,98.676822,120.548213,97.431405,69.746902,96.940800,0.001987,0.013516,32.000000,-237.260956,97.675959,0.194484,10.911202,0.544633,276920.696190,0.921359,19.699314,7.535960,1.852919,68.579533,69.006337,76.103908,13.000000,49.583038,81.582278,75.723772,24.010000,16.345945
54.789388,64.769660,101.484525,123.308027,57.896531,58.167849,59.400679,12.747539,96.928379,0.660529,64.866935,55.511952,122.251734,98.664181,120.545369,97.422215,69.747599,96.936847,0.001953,0.013448,32.000000,-237.259811,97.670729,0.194542,10.907081,0.542995,276926.579629,0.921082,19.707873,7.530075,1.849999,68.579848,69.006655,76.101920,13.000000,49.593373,81.582278,75.745903,24.010000,16.350935
54.791833,64.783465,101.512421,123.307204,57.998873,58.167975,59.430537,12.747131,96.918723,0.660519,64.884675,55.511391,122.250218,98.655985,120.542198,97.413384,69.749083,96.931841,0.001944,0.013433,32.000000,-237.260337,97.617962,0.194639,10.897179,0.544376,276933.100254,0.921462,19.717049,7.525281,1.851623,68.582075,69.007831,76.099537,13.000000,49.617277,81.582278,75.766719,24.010000,16.356263
54.802612,64.795111,101.530431,123.306748,58.027194,58.168329,59.389575,12.748563,96.911072,0.958756,64.896660,55.517744,122.250279,98.649654,120.539947,97.406006,69.749592,96.926834,0.001946,0.013437,32.000000,-237.258832,97.568184,0.294725,10.905646,0.544919,276943.590231,0.921613,19.731067,7.522119,1.852266,68.584390,69.009388,76.097779,13.000000,49.637031,81.582278,75.774543,24.010000,16.361062
54.811787,64.806581,101.363679,123.305314,58.039120,58.168255,59.429971,12.748972,96.907437,1.004349,64.904859,55.523256,122.250039,98.644820,120.537268,97.402498,69.750143,96.922186,0.001946,0.013396,32.000000,-237.258476,97.567146,0.303523,10.905973,0.545633,276952.300876,0.921141,19.742519,7.517509,1.852693,68.585674,69.010838,76.096064,13.000000,49.576548,81.582278,75.782908,24.010000,16.365943
54.816832,64.813434,101.318315,123.303302,57.999334,58.168153,59.418996,12.749246,96.900818,1.004390,64.914111,55.524201,122.249730,98.638515,120.536080,97.395482,69.751431,96.915573,0.001912,0.013398,32.000000,-237.258189,97.562029,0.303439,10.895184,0.545202,276958.780039,0.921610,19.743794,7.513876,1.852657,68.586550,69.012530,76.094346,13.000000,49.505961,81.582278,75.792625,24.010000,16.368458
54.824423,64.821613,101.287608,123.300967,57.941948,58.167975,59.416860,12.752077,96.896425,1.004396,64.925354,55.533666,122.249281,98.636006,120.535462,97.397198,69.751967,96.911763,0.001905,0.013435,32.000000,-237.255367,97.566574,0.303779,10.908850,0.543579,276963.991330,0.920840,19.746437,7.510425,1.849304,68.587421,69.014194,76.091718,13.000000,49.502769,81.582278,75.800912,24.010000,16.371364
