OSU 80 Ton Compressor Load Stand
J Singleton
Measured on:
Wednesday, December 19, 2018
12:34:46 PM
45/100
1
Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub,Pressure Ratio,Tamb,Twi,Twe,Bypass Position,Water Pump Speed,MG,SG,ML,SL
psia,F,psia,F,lbm/min,lbm/min,Hz,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min,kW,,Btu/h,,F,F,,F,F,F,,Hz,,,,
55.194859,65.424274,138.852986,141.878914,62.451526,58.143150,59.299517,12.832856,135.636930,1.001732,65.507267,55.817707,140.696094,137.498543,138.410907,136.400007,77.890007,135.693804,0.001837,0.012826,32.000000,-237.174193,136.616236,0.297321,13.453374,0.666072,268406.427080,0.917052,19.992793,20.587213,2.516557,68.202866,69.546475,87.975890,100.000000,36.483246,81.580000,35.349607,21.010000,15.223245
55.194397,65.429266,138.901915,141.879767,62.471532,58.143121,59.348056,12.833930,135.649989,0.867594,65.512933,55.816806,140.699560,137.506564,138.411143,136.412334,77.891304,135.703946,0.001837,0.012802,32.000000,-237.172978,136.645669,0.249337,13.442218,0.664914,268407.345832,0.916362,19.993555,20.589844,2.516108,68.206461,69.546525,87.976265,100.000000,36.492013,81.580000,35.300877,21.010000,15.225692
55.196570,65.433205,138.926821,141.881468,62.449118,58.143237,59.245286,12.833585,135.653775,0.963847,65.515286,55.815635,140.703000,137.512341,138.411254,136.420309,77.891937,135.706764,0.001840,0.012793,32.000000,-237.173299,136.628175,0.289485,13.422854,0.664146,268409.574755,0.916898,19.996611,20.593324,2.515687,68.207529,69.545491,87.975525,100.000000,36.512038,81.580000,35.262003,21.010000,15.227672
55.200777,65.436873,138.924050,141.884769,62.351199,58.143279,59.284937,12.835470,135.664187,0.999305,65.518559,55.817217,140.707816,137.518186,138.412360,136.429290,77.893914,135.716098,0.001805,0.012744,32.000000,-237.171330,136.639359,0.297516,13.424694,0.664974,268412.136171,0.916169,20.002044,20.596941,2.516594,68.207915,69.545523,87.977095,100.000000,36.523270,81.580000,35.210857,21.010000,15.229848
55.204189,65.439533,138.973053,141.887315,62.302436,58.143182,59.331835,12.835928,135.670044,0.999302,65.516660,55.820387,140.709417,137.527525,138.411016,136.439199,77.893169,135.724606,0.001796,0.012735,32.000000,-237.170943,136.650034,0.297724,13.448036,0.666043,268414.146605,0.917729,20.003903,20.597673,2.516947,68.206155,69.544509,87.977236,100.000000,36.545688,81.580000,35.166109,21.010000,15.231544
55.204301,65.440861,138.982081,141.889364,62.213025,58.143158,59.292204,12.836694,135.678477,0.999525,65.513023,55.822593,140.711901,137.538427,138.411879,136.449719,77.893306,135.734306,0.001795,0.012732,32.000000,-237.170135,136.661229,0.297541,13.454456,0.665877,268413.706395,0.917048,20.003547,20.600217,2.516705,68.204842,69.542914,87.977306,100.000000,36.564072,81.580000,35.124843,21.010000,15.232972
55.204067,65.439305,138.980122,141.892409,62.221119,58.143342,59.260942,12.835947,135.687922,0.999511,65.504857,55.820722,140.714910,137.548903,138.413305,136.461160,77.893807,135.742260,0.001799,0.012765,32.000000,-237.170977,136.675959,0.297514,13.442914,0.664929,268415.050808,0.916265,20.002942,20.605084,2.517437,68.202599,69.542759,87.976706,100.000000,36.564088,81.580000,35.076943,21.010000,15.233991
55.206106,65.434899,139.003129,141.896156,62.172277,58.143635,59.317160,12.835171,135.701035,0.999671,65.492760,55.821948,140.717744,137.566150,138.414150,136.473647,77.894630,135.759708,0.001839,0.012728,32.000000,-237.171733,136.692642,0.297667,13.439367,0.664658,268415.920466,0.916878,20.004164,20.609646,2.517595,68.199870,69.541524,87.974433,100.000000,36.560681,81.580000,35.027050,21.010000,15.234217
55.202688,65.429173,139.006581,141.900046,62.117371,58.143698,59.294776,12.834760,135.716183,0.999593,65.480219,55.820139,140.720723,137.577297,138.415764,136.488064,77.895642,135.777777,0.001830,0.012751,32.000000,-237.172162,136.707634,0.297588,13.441468,0.665224,268415.233389,0.917365,20.002830,20.612998,2.517570,68.198794,69.540472,87.971764,100.000000,36.575840,81.580000,34.988689,21.010000,15.233928
