OSU 80 Ton Compressor Load Stand
J Singleton
Measured on:
Wednesday, December 19, 2018
3:22:33 PM
45/100
1
Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub,Pressure Ratio,Tamb,Twi,Twe,Bypass Position,Water Pump Speed,MG,SG,ML,SL
psia,F,psia,F,lbm/min,lbm/min,Hz,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min,kW,,Btu/h,,F,F,,F,F,F,,Hz,,,,
54.927007,65.150893,138.794468,142.540978,62.733562,57.742702,59.326208,12.808331,135.472990,0.752988,65.126242,55.527981,141.369905,137.469976,139.067307,136.378545,78.018445,135.800401,0.001893,-1.904553,32.000000,-237.198406,136.538053,0.211794,13.478427,0.662228,266294.984466,0.914550,19.980880,20.508670,2.527652,68.597853,69.840758,88.337918,100.000000,36.759002,81.580000,36.168227,21.010000,15.304968
54.931338,65.152592,138.826196,142.538368,62.682714,57.742440,59.330406,12.809509,135.478495,0.875132,65.130579,55.533504,141.367897,137.478872,139.065950,136.390092,78.018435,135.809570,0.001873,-1.901810,32.000000,-237.197203,136.519140,0.259249,13.479975,0.661902,266296.289288,0.914659,19.980477,20.511592,2.527160,68.602587,69.840367,88.336037,100.000000,36.778399,81.580000,36.162752,21.010000,15.305475
54.935402,65.153869,138.833751,142.537085,62.714513,57.742322,59.315952,12.809291,135.483344,0.891132,65.132133,55.538318,141.365929,137.485442,139.063612,136.394616,78.017880,135.814714,0.001875,-1.901793,32.000000,-237.197623,136.527456,0.261675,13.483642,0.661485,266297.005383,0.914419,19.980001,20.516515,2.526889,68.607062,69.839641,88.333225,100.000000,36.777599,81.580000,36.156626,21.010000,15.305872
54.937900,65.155112,138.858389,142.536115,62.722434,57.742259,59.283258,12.809535,135.487727,0.891196,65.134210,55.540200,141.364877,137.494443,139.061181,136.398808,78.017305,135.823172,0.001881,-1.901758,32.000000,-237.197435,136.538407,0.261130,13.487160,0.661513,266295.716925,0.914275,19.977541,20.520964,2.527268,68.613648,69.839163,88.329305,100.000000,36.788770,81.580000,36.150667,21.010000,15.306320
54.941428,65.156019,138.865669,142.535490,62.791437,57.742180,59.330303,12.810069,135.495340,0.891012,65.136426,55.544493,141.365063,137.500987,139.059791,136.407110,78.017057,135.830076,0.001863,-1.901770,32.000000,-237.196899,136.542188,0.261439,13.483138,0.661318,266295.693534,0.914424,19.974915,20.524011,2.527218,68.620539,69.838737,88.327045,100.000000,36.799394,81.580000,36.143805,21.010000,15.306668
54.943390,65.157425,138.822600,142.534810,62.839964,57.742125,59.309160,12.809306,135.499313,0.891106,65.139417,55.541527,141.363750,137.506322,139.056445,136.414170,78.016974,135.836271,0.001842,-1.901787,32.000000,-237.197819,136.545364,0.261410,13.487874,0.661233,266296.391488,0.914884,19.973758,20.528680,2.527552,68.629154,69.838210,88.324055,100.000000,36.770260,81.580000,36.138071,21.010000,15.307125
54.944171,65.158505,138.872963,142.534219,62.835618,57.742096,59.334725,12.808965,135.506485,0.798920,65.140721,55.541735,141.360931,137.511471,139.053311,136.418362,78.015554,135.838463,0.001840,-1.901774,32.000000,-237.198096,136.571888,0.225842,13.484633,0.661418,266295.602951,0.914095,19.971278,20.532271,2.527522,68.634962,69.837234,88.320549,100.000000,36.789913,81.580000,36.134181,21.010000,15.307507
54.944119,65.159556,138.849053,142.533616,62.810890,57.742180,59.340447,12.807942,135.503713,0.739662,65.141919,55.544685,141.358777,137.517926,139.049208,136.422210,78.013993,135.839977,0.001850,-1.901758,32.000000,-237.199100,136.555382,0.222893,13.494032,0.660939,266296.212170,0.914387,19.970799,20.535353,2.526648,68.643637,69.837277,88.315697,100.000000,36.784481,81.580000,36.129337,21.010000,15.307928
54.946226,65.159935,138.859093,142.532903,62.867154,57.742246,59.171681,12.808734,135.507640,0.889266,65.143460,55.550511,141.357225,137.519648,139.046537,136.425331,78.013466,135.844183,0.001863,-1.902946,32.000000,-237.198262,136.561534,0.261564,13.490644,0.661345,266297.902320,0.913981,19.971131,20.537833,2.527529,68.650438,69.837138,88.311870,100.000000,36.790156,81.580000,36.123877,21.010000,15.308220
